insee,pot_hp,pot_hc,pot_soir,pot_nuit,x,y
"78498",431.98,174.5,42.21,5.36,2.04522245042014,48.9346183072211
"78498",380.5,147.01,43.05,5.43,2.04551097422954,48.932831391739
"78498",499.14,242.2,68.12,8.49,2.04579947173653,48.9310444739485
"78498",226.38,155.56,30.46,3.47,2.04608794294452,48.9292575538495
"78498",184.53,141.74,28.8,3.38,2.04637638785693,48.9274706314415
"78498",263.47,135.6,47.05,6.05,2.04793843873408,48.9348122797281
"78498",247.55,119.31,36.77,4.68,2.04822686600011,48.9330253561747
"78498",124.51,88.99,26.9,3.37,2.04666480647717,48.9256837067244
"78498",10.78,8.04,1.72,0.21,2.04695319880866,48.9238967796978
"78498",3.09,2.42,0.01,0,2.0575269455518,48.9264590396901
"78498",50.45,34.99,11.38,1.45,2.05723891298399,48.9282459966645
"78498",111.88,75.64,22.94,2.91,2.05637465771965,48.9336068537519
"78498",165.01,111.03,35.17,4.4,2.05666276907132,48.9318199036951
"78498",83.42,56.86,18.12,2.29,2.0569508541583,48.9300329513327
"78498",148.9,96.08,28.85,3.7,2.05608652009985,48.9353938015034
"78498",41.88,31.68,8.47,1.03,2.05551016604231,48.9389676900918
"78498",82.14,57.49,16.91,2.11,2.05579835620855,48.9371807469499
"78498",6.96,6.22,0.9,0.09,2.05522194959773,48.9407546309293
"78498",0.06,0.06,0.01,0,2.05649731173109,48.9498830737485
"78498",9.12,7.19,0.06,0,2.05707378797365,48.9463091966725
"78498",6.02,4.85,0.16,0.01,2.05678556299577,48.9480961363616
"78498",13.24,10.35,2.44,0.3,2.05793830522047,48.9409483637898
"78498",1.74,1.92,0.65,0.07,2.05765015908258,48.9427353103869
"78498",4.39,3.45,0.02,0,2.05736198666812,48.9445222546811
"78498",29.57,22.92,5.83,0.7,2.05822642508518,48.9391614148893
"78498",12.03,11.94,2.14,0.21,2.05851451868014,48.9373744636853
"78498",14.24,11.23,0.07,0,2.06007855487274,48.9447159376962
"78498",0,0,0,0,2.05863778165957,48.9536506649527
"78498",5.85,4.96,0.45,0.05,2.05921416978637,48.9500767809535
"78498",15.08,12.37,0.67,0.06,2.0595023244256,48.9482898355025
"78498",14.98,12.23,0.57,0.05,2.05979045278658,48.9465028877502
"78498",1.7,1.1,0.37,0.05,2.06164296295572,48.9520573733883
"78498",26.6,18.76,3.4,0.43,2.06193104723984,48.9502704221762
"78498",3.48,3.04,0.37,0.04,2.0603666306875,48.9429289853403
"78498",56.6,40.15,13.49,1.81,2.06065468023424,48.9411420306821
"78498",226.13,159.31,56.22,7.64,2.0609427035164,48.9393550737213
"78498",7.77,7.31,1.36,0.14,2.06123070053737,48.9375681144578
"78498",16.52,10.93,3.49,0.44,2.06151867130058,48.935781152891
"78498",25.57,16.98,6,0.76,2.06180661580941,48.9339941890208
"78498",0.91,0.69,0.2,0.02,2.0620945340673,48.9322072228469
"78498",88.75,57.2,19.97,2.57,2.05880258600873,48.9355875101773
"78498",50.39,33.51,11.28,1.41,2.05909062707439,48.9338005543651
"78498",34.14,24.41,7.32,0.91,2.05937864188051,48.9320135962484
"78498",7.16,5.11,1.14,0.14,2.05966663043052,48.9302266358269
"78498",0.05,0.03,0.01,0,2.0645226239184,48.9341877577183
"78498",0.97,1.11,0.34,0.04,2.06365900132965,48.9395486665871
"78498",13.21,9.35,3.32,0.45,2.06337107463274,48.9413356316054
"78498",15.04,10.75,2.38,0.32,2.06308312167981,48.9431225943219
"78498",24.24,18.14,1,0.11,2.06279514246748,48.944909554737
"78498",68.18,46.47,4.99,0.6,2.06250713699231,48.9466965128508
"78498",17.23,13.77,0.82,0.08,2.0622191052509,48.9484834686638
"78498",11.99,8.15,0.84,0.1,2.06464794408518,48.9504639974158
"78498",43.45,30.04,2.97,0.36,2.06493590546537,48.9486770358447
"78498",435.11,276.18,29.82,3.74,2.06522384058452,48.9468900719738
"78498",88.82,58.27,5.53,0.68,2.065511749446,48.9451031058027
"78498",13.26,9.24,2.9,0.39,2.06579963205324,48.9433161373312
"78498",16.77,11.48,2.47,0.32,2.06794056355688,48.9470835651183
"78498",2.21,1.65,0.11,0.01,2.06765272506271,48.9488705370445
"78498",0.97,0.76,0,0,2.068228375802,48.9452965908927
"78498",1.07,0.7,0.26,0.03,2.07065730590311,48.9472769922835
