stop_id,stop_name,stop_lat,stop_lon
1,Avenue de la Maladrerie,48.920274035,2.0311984245000003
3,Avenue de Pontoise,48.93604656999999,2.0563895210000003
4,Avenue de Pontoise,48.93664492999997,2.055349272000001
5,Béthemont,48.91236434999999,2.0007777600000005
6,Blanche de Castille,48.92522230499999,2.0333104415
8,Boulevard des Loges,48.93425917499998,2.0604974765
10,Boulevard Robespierre,48.9346181,2.0571404149999997
12,Bussy,48.92228607999997,2.0373447930000004
14,Centre de Secours,48.91458098999997,2.0226688950000002
16,Centre des Impôts,48.91939537999998,2.039119774
18,Chambre d'Industrie et du Commerce,48.94790212999998,2.0655212799999996
19,Champ Gaillard,48.921289104999985,2.0213215104999995
21,Charles Edouard Jeanneret,48.94538234999999,2.0640063990000006
22,Château Maurice Clerc,48.91932114999999,2.017396795999999
23,Cimetière,48.926758879999966,2.0403663035000004
25,Commissariat,48.92706474499998,2.044228853999999
27,Corneille,48.92033385,2.0352755499999993
29,Dépôt de Poissy,48.937960819999994,2.034865946
31,Emile Zola,48.92938847999998,2.031819782
33,Ernest Lavisse,48.926455659999974,2.0522414040000005
34,Ferme de 40 sous,48.91586818999999,2.016681752000001
35,Fernand Lefèbvre,48.92479336999999,2.051616873999999
38,Foch Constanti,48.93083431499997,2.0526358539999996
40,Foch Flament,48.93428770999999,2.058049306999999
41,Foch Justice,48.92941509,2.0497691270000007
42,Frères Rose,48.93132017999999,2.0423384400000004
44,Gare de Poissy,48.93323999999997,2.0421399999999994
45,Gare Nord,48.93322612636362,2.039518922545455
56,Gare Sud,48.93336817199997,2.0421451987999992
66,Grande Ceinture,48.92646366,2.0515560289999994
67,Grands Champs,48.919728615,2.0265570064999996
69,Hélistation,48.94669207999998,2.066919306999999
70,Hôpital,48.91795089999998,2.0234885564000002
75,Jean Moulin,48.91747787499999,2.0396148844999997
77,La Bidonnière,48.91221126,2.0103641110000003
78,La Bruyère,48.927482739999995,2.0534623470000004
79,La Coudraie,48.91853812999998,2.0136379250000003
81,La Maladrerie,48.91458790499997,2.020187183499999
83,La Part Dieu,48.92231617999998,2.0242751709999998
84,La Terrasse,48.92391862999999,2.0536919820000006
85,Laurence Caroline,48.931764255,2.0475259550000007
87,Le Cep,48.92896079,2.0412942979999995
89,Le Lac,48.94868057999999,2.0640299490000005
90,Le Nestour,48.94043929999998,2.059994319
91,Lycée Charles De Gaulle,48.93739404499998,2.0532119
93,Lycée Le Corbusier,48.92356403000001,2.0279725360000005
94,Marcel Cerdan,48.91804622,2.0263638109999995
96,Maryse Bastié,48.928372194999994,2.055251029
98,Montaigne,48.92213545999999,2.024689157000001
99,Notre-Dame,48.92620932499999,2.0372423150000003
101,Orée du Bois,48.926136679999985,2.054301666000001
102,Parvis Gare,48.93259019499998,2.0416764835
104,Péguy,48.926120404999985,2.0497784959999996
106,Perret,48.93539791,2.052410511
108,Peugeot,48.938890615,2.049266400499999
110,Pirmasens,48.92744541999998,2.0492575939999993
111,Piscine,48.92845072499998,2.0288656009999997
113,Piscine,48.93926592999998,2.057817870000001
114,PLACE POMPIDOU,48.932815049999974,2.0422835955000003
117,Pont de l'Ile,48.929246349999985,2.027237780500001
119,Racine,48.92133509,2.0279396624999997
121,Relais Jeunesse,48.93006030999998,2.013927462999999
123,Rhin - Danube,48.92334582999999,2.02859441
124,Robert Schumann,48.93800228999999,2.0554919509999996
125,Roland Le nestour,48.94084611999999,2.0594593889999997
126,Rond-Point,48.949563899999994,2.0612554129999996
128,Rond-Point de l'île,48.93055164999998,2.0123227120000005
129,Ronsard,48.92058825999998,2.0310738365000005
131,Rue au Pain,48.930444499999986,2.0394213110000003
132,Rue des Grands Champs,48.926900319999994,2.0467143429999997
133,Rue du Stade,48.93738223999998,2.055508962
134,Saint Exupery,48.939529114999985,2.0605643170000003
136,Sainte Anne,48.93261181999999,2.0562100735000004
139,Simonet,48.93410165999999,2.059196124
140,Square Diez,48.933443249999975,2.051561326499999
142,Ursulines,48.92834462999998,2.0416446409999995
143,Victor Hugo,48.92861387999999,2.0455044909999995
144,Villa Savoye,48.92454112499999,2.0302609754999987
146,Voltaire,48.918301779999986,2.026144095
